Pedestrian_Involved,Accident Severity,Time of Day,Day of Week,Weather Conditions,Lighting Conditions,Road Type,Road Condition,Traffic Control Presence,Speed Limit (km/h),Number of Vehicles Involved
1,Minor,15:58,Wednesday,Clear,Daylight,State Highway,Under Construction,Police Checkpost,71,2
0,Fatal,0:54,Wednesday,Stormy,Dusk,National Highway,Damaged,Unknown,90,1
0,Serious,15:42,Friday,Stormy,Daylight,Village Road,Wet,Signals,83,2
0,Minor,10:53,Sunday,Hazy,Dusk,National Highway,Under Construction,Unknown,33,3
0,Fatal,15:1,Thursday,Stormy,Dawn,State Highway,Under Construction,Signs,69,2
0,Fatal,9:25,Tuesday,Clear,Dark,National Highway,Under Construction,Signals,53,1
0,Serious,23:21,Saturday,Hazy,Dawn,Urban Road,Damaged,Signs,82,5
0,Minor,12:1,Thursday,Stormy,Dark,State Highway,Damaged,Signs,79,3
1,Minor,17:37,Saturday,Stormy,Dawn,National Highway,Dry,Unknown,30,2
0,Serious,11:2,Sunday,Hazy,Dark,Village Road,Damaged,Unknown,106,3
0,Fatal,16:3,Tuesday,Foggy,Dawn,State Highway,Damaged,Unknown,102,2
0,Minor,19:18,Thursday,Foggy,Dawn,National Highway,Under Construction,Unknown,48,2
0,Minor,17:43,Saturday,Foggy,Dusk,Urban Road,Under Construction,Police Checkpost,32,5
0,Serious,6:20,Monday,Hazy,Dusk,Urban Road,Under Construction,Signs,59,1
0,Fatal,17:8,Wednesday,Rainy,Daylight,National Highway,Under Construction,Unknown,88,2
0,Serious,20:19,Tuesday,Foggy,Dusk,Village Road,Damaged,Signs,83,5
0,Minor,7:58,Friday,Clear,Dawn,State Highway,Under Construction,Unknown,58,2
0,Serious,7:46,Sunday,Rainy,Dark,Village Road,Damaged,Signals,30,5
0,Serious,10:52,Sunday,Foggy,Dawn,National Highway,Damaged,Signs,104,1
0,Minor,22:36,Wednesday,Rainy,Dark,Urban Road,Under Construction,Police Checkpost,93,3
0,Minor,9:4,Friday,Foggy,Dark,State Highway,Damaged,Signs,82,3
0,Fatal,19:34,Tuesday,Rainy,Daylight,Village Road,Wet,Signs,82,5
0,Serious,5:0,Wednesday,Stormy,Daylight,Village Road,Under Construction,Signs,108,2
0,Minor,4:33,Sunday,Hazy,Dusk,National Highway,Dry,Unknown,41,4
0,Fatal,0:26,Wednesday,Rainy,Dusk,State Highway,Wet,Unknown,61,4
0,Minor,18:57,Thursday,Rainy,Dusk,National Highway,Wet,Unknown,109,2
0,Fatal,22:43,Tuesday,Foggy,Daylight,National Highway,Under Construction,Unknown,30,4
0,Minor,9:10,Sunday,Hazy,Dawn,State Highway,Damaged,Police Checkpost,114,5
1,Serious,5:38,Saturday,Foggy,Dusk,State Highway,Dry,Signals,37,4
0,Serious,20:21,Thursday,Hazy,Dark,State Highway,Under Construction,Signs,50,2
0,Serious,0:35,Sunday,Stormy,Dark,National Highway,Wet,Police Checkpost,89,1
0,Fatal,22:31,Friday,Rainy,Daylight,State Highway,Under Construction,Police Checkpost,117,2
0,Fatal,0:24,Tuesday,Rainy,Dawn,State Highway,Wet,Signs,45,5
0,Serious,7:9,Monday,Foggy,Dawn,State Highway,Dry,Unknown,70,3
0,Fatal,8:33,Sunday,Hazy,Dark,State Highway,Dry,Signals,60,1
1,Minor,7:51,Monday,Clear,Dawn,National Highway,Dry,Unknown,95,1
0,Fatal,6:10,Saturday,Clear,Dusk,Urban Road,Dry,Signals,31,2
0,Minor,10:6,Saturday,Foggy,Dawn,Village Road,Damaged,Unknown,85,1
0,Fatal,21:56,Thursday,Hazy,Daylight,Village Road,Dry,Police Checkpost,110,5
0,Serious,10:54,Saturday,Foggy,Dawn,National Highway,Wet,Signs,90,3
0,Serious,20:23,Thursday,Foggy,Dark,Urban Road,Wet,Unknown,61,1
0,Fatal,15:1,Saturday,Clear,Dawn,Village Road,Damaged,Unknown,35,3
0,Fatal,17:55,Wednesday,Rainy,Dusk,Village Road,Damaged,Police Checkpost,85,4
1,Fatal,5:27,Sunday,Stormy,Daylight,State Highway,Wet,Signals,99,2
1,Serious,0:29,Wednesday,Hazy,Dusk,Urban Road,Wet,Unknown,30,3
0,Serious,16:53,Friday,Hazy,Dark,Village Road,Dry,Unknown,97,4
0,Fatal,13:40,Wednesday,Foggy,Dawn,Urban Road,Wet,Signs,105,3
0,Serious,2:42,Tuesday,Hazy,Dawn,State Highway,Under Construction,Signs,94,5
0,Minor,5:10,Monday,Stormy,Dark,Village Road,Wet,Unknown,44,4
0,Minor,16:57,Saturday,Clear,Dark,State Highway,Wet,Police Checkpost,66,3
0,Serious,4:43,Tuesday,Rainy,Dusk,State Highway,Under Construction,Unknown,77,5
0,Fatal,0:43,Thursday,Clear,Dark,State Highway,Dry,Police Checkpost,38,4
0,Minor,19:42,Saturday,Clear,Dark,Village Road,Damaged,Signals,43,1
0,Fatal,9:18,Saturday,Clear,Dusk,National Highway,Dry,Signals,41,1
0,Serious,15:40,Tuesday,Stormy,Dark,National Highway,Dry,Police Checkpost,30,5
0,Fatal,17:12,Friday,Rainy,Dark,Urban Road,Under Construction,Signals,68,5
1,Minor,9:3,Thursday,Foggy,Dawn,National Highway,Dry,Signals,74,4
0,Minor,16:44,Monday,Hazy,Dawn,State Highway,Under Construction,Signals,101,2
0,Minor,8:53,Sunday,Hazy,Daylight,Urban Road,Wet,Signals,33,5
0,Fatal,12:2,Wednesday,Hazy,Dusk,Urban Road,Under Construction,Signs,57,4
0,Minor,17:6,Wednesday,Rainy,Dusk,Village Road,Damaged,Unknown,43,1
0,Minor,2:57,Sunday,Hazy,Dawn,Urban Road,Dry,Signs,81,1
0,Fatal,3:27,Monday,Hazy,Dusk,Village Road,Dry,Signals,67,4
0,Fatal,2:35,Saturday,Foggy,Dusk,State Highway,Under Construction,Signals,98,4
0,Serious,11:17,Tuesday,Clear,Daylight,Village Road,Under Construction,Signs,73,2
0,Minor,23:18,Tuesday,Stormy,Dusk,Village Road,Dry,Unknown,95,2
0,Minor,12:31,Saturday,Stormy,Dark,Urban Road,Damaged,Unknown,82,2
0,Serious,14:45,Sunday,Rainy,Daylight,Village Road,Wet,Signals,74,1
0,Fatal,9:17,Friday,Stormy,Dawn,Urban Road,Damaged,Signs,47,3
0,Minor,1:29,Saturday,Clear,Daylight,National Highway,Damaged,Unknown,36,4
0,Serious,12:26,Sunday,Rainy,Daylight,State Highway,Under Construction,Signs,59,1
0,Serious,16:40,Monday,Rainy,Dusk,National Highway,Dry,Police Checkpost,37,5
0,Minor,12:7,Saturday,Stormy,Dusk,Village Road,Damaged,Unknown,73,2
0,Fatal,12:46,Tuesday,Foggy,Dusk,Urban Road,Dry,Unknown,60,2
0,Minor,13:12,Sunday,Stormy,Dawn,State Highway,Dry,Signs,84,1
0,Fatal,10:51,Sunday,Clear,Daylight,State Highway,Dry,Signs,100,4
0,Serious,6:11,Saturday,Rainy,Dusk,State Highway,Wet,Unknown,98,4
0,Minor,5:20,Monday,Clear,Dusk,Urban Road,Under Construction,Unknown,86,3
0,Serious,7:50,Sunday,Hazy,Daylight,National Highway,Dry,Police Checkpost,50,1
0,Fatal,15:50,Sunday,Stormy,Dark,Village Road,Wet,Signals,49,1
1,Serious,10:13,Wednesday,Stormy,Daylight,Village Road,Wet,Signs,102,4
0,Fatal,5:29,Thursday,Stormy,Daylight,Village Road,Damaged,Signals,86,2
0,Fatal,20:43,Friday,Hazy,Dusk,National Highway,Dry,Unknown,103,5
0,Minor,11:22,Saturday,Foggy,Dark,Village Road,Under Construction,Signals,41,4
0,Fatal,18:43,Friday,Clear,Dusk,State Highway,Damaged,Signs,111,4
0,Serious,22:37,Tuesday,Stormy,Dusk,Urban Road,Wet,Unknown,92,4
1,Fatal,3:40,Wednesday,Foggy,Dark,Urban Road,Under Construction,Signals,32,5
0,Minor,8:16,Wednesday,Hazy,Dusk,National Highway,Under Construction,Signs,50,1
0,Serious,3:50,Monday,Rainy,Dusk,State Highway,Under Construction,Signs,83,3
0,Fatal,18:24,Tuesday,Stormy,Dusk,State Highway,Damaged,Unknown,120,5
0,Minor,2:20,Friday,Clear,Dusk,National Highway,Dry,Signs,66,3
0,Serious,13:20,Wednesday,Clear,Dawn,Village Road,Dry,Police Checkpost,69,4
0,Minor,3:19,Monday,Stormy,Dusk,Urban Road,Damaged,Unknown,73,5
0,Fatal,17:25,Sunday,Rainy,Daylight,National Highway,Wet,Unknown,86,3
0,Fatal,21:40,Monday,Rainy,Dusk,State Highway,Wet,Unknown,81,4
0,Minor,17:9,Sunday,Rainy,Dark,National Highway,Under Construction,Unknown,61,2
0,Minor,22:3,Friday,Hazy,Daylight,National Highway,Wet,Unknown,35,3
0,Fatal,16:44,Monday,Stormy,Daylight,State Highway,Under Construction,Unknown,77,5
0,Fatal,10:18,Wednesday,Clear,Daylight,Urban Road,Wet,Police Checkpost,119,1
0,Serious,4:31,Wednesday,Hazy,Dark,Urban Road,Under Construction,Police Checkpost,30,5
0,Serious,20:12,Saturday,Rainy,Dawn,State Highway,Under Construction,Police Checkpost,88,1
0,Serious,21:27,Thursday,Rainy,Dawn,Urban Road,Under Construction,Signals,80,5
1,Minor,22:18,Tuesday,Stormy,Dawn,Village Road,Wet,Signs,49,5
0,Serious,6:49,Thursday,Rainy,Daylight,Urban Road,Wet,Signs,96,2
0,Serious,20:49,Sunday,Foggy,Daylight,National Highway,Dry,Police Checkpost,79,3
1,Fatal,20:4,Monday,Clear,Dark,National Highway,Wet,Signals,35,3
0,Fatal,4:47,Thursday,Clear,Dawn,Urban Road,Damaged,Police Checkpost,95,5
0,Serious,23:33,Sunday,Rainy,Dark,National Highway,Wet,Signals,31,3
0,Minor,6:1,Sunday,Foggy,Dusk,Urban Road,Dry,Signs,70,1
0,Minor,22:19,Friday,Hazy,Daylight,State Highway,Damaged,Signals,55,1
0,Serious,22:7,Thursday,Foggy,Dark,State Highway,Wet,Unknown,107,2
0,Fatal,6:44,Tuesday,Stormy,Dark,State Highway,Under Construction,Unknown,44,5
0,Serious,8:19,Friday,Stormy,Dark,Village Road,Damaged,Signals,68,2
0,Serious,20:20,Friday,Hazy,Dawn,Urban Road,Wet,Signs,53,1
0,Minor,7:47,Thursday,Clear,Dawn,State Highway,Under Construction,Police Checkpost,119,4
0,Minor,0:21,Friday,Foggy,Dusk,Village Road,Dry,Police Checkpost,56,4
0,Serious,10:31,Thursday,Stormy,Daylight,State Highway,Dry,Police Checkpost,117,1
1,Fatal,23:25,Sunday,Rainy,Daylight,State Highway,Under Construction,Unknown,52,2
1,Minor,8:16,Monday,Foggy,Dark,National Highway,Under Construction,Unknown,53,1
0,Fatal,2:21,Monday,Rainy,Daylight,Village Road,Wet,Police Checkpost,54,1
0,Minor,23:48,Thursday,Clear,Daylight,Urban Road,Wet,Unknown,119,3
0,Fatal,4:11,Sunday,Hazy,Daylight,National Highway,Under Construction,Police Checkpost,101,4
0,Minor,12:56,Friday,Clear,Dark,National Highway,Under Construction,Police Checkpost,86,3
0,Fatal,6:52,Saturday,Stormy,Dark,National Highway,Under Construction,Signals,56,5
0,Serious,14:54,Saturday,Hazy,Dawn,Urban Road,Under Construction,Signs,69,1
0,Minor,7:50,Saturday,Foggy,Daylight,National Highway,Damaged,Unknown,54,5
0,Serious,2:29,Saturday,Clear,Dark,State Highway,Damaged,Signals,38,3
0,Serious,14:16,Sunday,Hazy,Dark,State Highway,Under Construction,Unknown,54,1
0,Minor,20:20,Tuesday,Stormy,Daylight,National Highway,Dry,Signals,67,5
0,Fatal,21:52,Monday,Clear,Daylight,State Highway,Under Construction,Police Checkpost,69,1
0,Serious,19:50,Wednesday,Hazy,Daylight,State Highway,Dry,Police Checkpost,69,4
1,Serious,20:38,Saturday,Clear,Dusk,National Highway,Damaged,Unknown,90,3
0,Fatal,6:4,Saturday,Stormy,Daylight,Urban Road,Under Construction,Signs,35,1
0,Minor,7:15,Friday,Rainy,Dawn,National Highway,Under Construction,Signs,118,1
0,Serious,2:36,Wednesday,Rainy,Dawn,Urban Road,Dry,Unknown,75,2
1,Minor,20:47,Thursday,Hazy,Dawn,Urban Road,Under Construction,Unknown,116,2
0,Serious,14:14,Saturday,Stormy,Dusk,Village Road,Dry,Signals,120,3
0,Minor,15:21,Wednesday,Hazy,Dark,National Highway,Dry,Signals,73,1
0,Fatal,12:12,Sunday,Hazy,Dusk,State Highway,Wet,Signs,40,5
0,Minor,12:46,Saturday,Hazy,Dusk,Village Road,Dry,Signals,31,5
0,Minor,15:18,Friday,Stormy,Dark,Village Road,Wet,Signals,45,1
0,Serious,20:55,Sunday,Clear,Dark,National Highway,Under Construction,Signals,100,3
0,Serious,17:40,Thursday,Clear,Dusk,Urban Road,Dry,Police Checkpost,64,3
0,Minor,5:36,Friday,Clear,Dark,Village Road,Under Construction,Signals,78,3
1,Serious,4:57,Saturday,Clear,Dark,Village Road,Under Construction,Signs,91,5
0,Fatal,2:24,Monday,Clear,Daylight,Village Road,Dry,Signs,66,5
0,Fatal,4:46,Sunday,Foggy,Dark,State Highway,Under Construction,Unknown,34,2
0,Fatal,19:24,Monday,Rainy,Daylight,Urban Road,Damaged,Signs,73,5
0,Minor,17:59,Sunday,Foggy,Dusk,National Highway,Dry,Signs,67,5
0,Minor,23:11,Saturday,Rainy,Dark,Village Road,Under Construction,Unknown,108,4
1,Minor,20:35,Tuesday,Foggy,Dark,National Highway,Damaged,Signs,65,5
0,Fatal,13:27,Saturday,Rainy,Daylight,National Highway,Dry,Unknown,78,4
1,Fatal,3:48,Saturday,Stormy,Daylight,National Highway,Damaged,Signs,49,2
0,Minor,9:15,Thursday,Rainy,Dusk,State Highway,Damaged,Signs,87,2
0,Fatal,20:24,Monday,Clear,Dusk,Urban Road,Under Construction,Signals,91,2
1,Minor,10:14,Saturday,Clear,Dark,Urban Road,Wet,Signals,111,5
0,Serious,23:22,Sunday,Foggy,Dark,Urban Road,Damaged,Signs,99,5
0,Fatal,6:14,Wednesday,Foggy,Dusk,National Highway,Damaged,Police Checkpost,58,5
0,Fatal,17:10,Tuesday,Hazy,Daylight,Urban Road,Dry,Signs,117,1
0,Serious,5:53,Saturday,Rainy,Dusk,State Highway,Wet,Police Checkpost,40,2
0,Minor,5:35,Monday,Foggy,Daylight,Urban Road,Under Construction,Signs,35,4
0,Serious,3:40,Thursday,Stormy,Daylight,Village Road,Under Construction,Signals,48,1
0,Minor,5:19,Sunday,Stormy,Daylight,National Highway,Under Construction,Signs,118,3
0,Serious,0:6,Wednesday,Clear,Dark,National Highway,Damaged,Signals,53,5
0,Minor,3:30,Saturday,Clear,Dark,State Highway,Under Construction,Signals,38,3
0,Minor,22:0,Tuesday,Clear,Dusk,Village Road,Wet,Police Checkpost,62,5
0,Serious,20:12,Wednesday,Foggy,Dawn,National Highway,Damaged,Unknown,90,1
0,Fatal,20:17,Sunday,Foggy,Daylight,National Highway,Wet,Signs,40,3
0,Serious,12:25,Tuesday,Hazy,Dawn,Urban Road,Under Construction,Unknown,51,4
0,Fatal,7:2,Tuesday,Stormy,Dawn,State Highway,Wet,Unknown,83,5
1,Serious,22:37,Tuesday,Clear,Daylight,National Highway,Damaged,Signs,55,3
0,Minor,0:54,Monday,Hazy,Dark,Village Road,Wet,Signals,106,4
1,Minor,4:9,Saturday,Stormy,Dark,State Highway,Under Construction,Police Checkpost,120,5
1,Minor,12:58,Tuesday,Foggy,Dusk,Urban Road,Under Construction,Unknown,117,4
0,Fatal,13:34,Monday,Hazy,Dawn,Urban Road,Under Construction,Police Checkpost,50,1
0,Minor,3:3,Monday,Rainy,Daylight,National Highway,Damaged,Police Checkpost,32,4
0,Fatal,15:17,Wednesday,Hazy,Dusk,State Highway,Damaged,Police Checkpost,32,1
0,Serious,19:42,Tuesday,Stormy,Dusk,State Highway,Dry,Signs,106,2
0,Serious,14:42,Sunday,Hazy,Dawn,Urban Road,Under Construction,Unknown,34,5
0,Fatal,12:21,Tuesday,Hazy,Dark,State Highway,Damaged,Police Checkpost,41,3
0,Minor,2:1,Friday,Hazy,Daylight,Urban Road,Wet,Signs,120,5
0,Serious,8:19,Thursday,Clear,Dusk,Village Road,Under Construction,Signs,84,2
0,Minor,13:44,Sunday,Stormy,Daylight,State Highway,Under Construction,Unknown,49,4
0,Minor,11:52,Friday,Stormy,Dusk,Village Road,Under Construction,Signals,79,1
0,Fatal,21:5,Friday,Hazy,Daylight,Village Road,Wet,Signals,95,4
0,Fatal,0:41,Tuesday,Rainy,Daylight,Urban Road,Damaged,Police Checkpost,105,5
0,Minor,4:24,Friday,Stormy,Daylight,State Highway,Damaged,Police Checkpost,111,1
0,Minor,13:53,Thursday,Stormy,Daylight,Urban Road,Wet,Signals,75,2
0,Serious,1:4,Monday,Hazy,Dark,Urban Road,Damaged,Unknown,50,3
0,Fatal,0:6,Saturday,Clear,Dawn,Urban Road,Dry,Signs,98,4
0,Minor,5:14,Tuesday,Stormy,Dark,Village Road,Damaged,Signs,93,3
0,Serious,20:15,Thursday,Stormy,Dusk,National Highway,Damaged,Signs,102,1
0,Minor,14:19,Wednesday,Foggy,Daylight,State Highway,Dry,Signals,38,1
0,Serious,21:18,Friday,Clear,Dark,Urban Road,Wet,Signs,118,3
1,Serious,17:8,Wednesday,Hazy,Daylight,Village Road,Damaged,Signals,120,5
0,Fatal,22:53,Saturday,Hazy,Daylight,National Highway,Damaged,Unknown,99,4
0,Minor,9:33,Wednesday,Hazy,Dawn,Urban Road,Damaged,Signs,30,2
0,Minor,13:4,Monday,Rainy,Dawn,Urban Road,Under Construction,Unknown,43,5
0,Minor,16:7,Thursday,Clear,Dark,Village Road,Damaged,Police Checkpost,62,2
0,Serious,19:19,Saturday,Hazy,Dawn,Urban Road,Under Construction,Signs,67,2
0,Minor,16:26,Thursday,Stormy,Dawn,State Highway,Dry,Unknown,54,2
1,Minor,11:16,Friday,Rainy,Daylight,National Highway,Wet,Signals,97,1
0,Minor,13:48,Wednesday,Rainy,Daylight,Village Road,Damaged,Signs,68,1
0,Minor,17:25,Sunday,Foggy,Dusk,State Highway,Damaged,Signals,110,2
0,Fatal,22:45,Wednesday,Rainy,Dark,State Highway,Wet,Police Checkpost,35,5
0,Serious,0:54,Wednesday,Foggy,Dark,State Highway,Under Construction,Unknown,42,2
0,Serious,17:1,Friday,Hazy,Daylight,National Highway,Dry,Unknown,100,2
0,Serious,14:59,Wednesday,Foggy,Dark,Urban Road,Dry,Police Checkpost,109,2
0,Serious,13:11,Thursday,Clear,Dusk,State Highway,Wet,Police Checkpost,59,1
0,Serious,21:33,Wednesday,Clear,Dark,Village Road,Under Construction,Signs,86,3
1,Fatal,11:33,Thursday,Rainy,Daylight,Village Road,Under Construction,Signals,75,3
0,Serious,21:9,Tuesday,Clear,Dawn,Urban Road,Damaged,Police Checkpost,49,2
1,Fatal,4:45,Monday,Foggy,Dark,State Highway,Under Construction,Signals,106,5
0,Serious,9:22,Monday,Rainy,Dark,State Highway,Damaged,Signals,118,2
0,Fatal,13:42,Thursday,Hazy,Dawn,National Highway,Wet,Unknown,112,4
0,Serious,16:36,Thursday,Foggy,Dark,National Highway,Under Construction,Police Checkpost,88,4
0,Serious,8:9,Monday,Stormy,Dusk,State Highway,Wet,Unknown,85,5
1,Serious,8:31,Monday,Hazy,Daylight,State Highway,Wet,Signals,46,1
0,Minor,8:55,Tuesday,Stormy,Dark,Urban Road,Wet,Signs,45,5
0,Serious,7:29,Thursday,Foggy,Dark,National Highway,Damaged,Signals,62,5
0,Minor,22:27,Thursday,Clear,Daylight,Village Road,Dry,Signs,65,1
1,Serious,0:7,Tuesday,Stormy,Dawn,State Highway,Under Construction,Signs,66,4
0,Minor,0:0,Wednesday,Stormy,Dusk,Village Road,Wet,Police Checkpost,91,4
0,Fatal,16:38,Wednesday,Clear,Daylight,National Highway,Dry,Signs,46,3
0,Minor,6:54,Tuesday,Clear,Dusk,National Highway,Wet,Signs,119,1
0,Serious,17:11,Wednesday,Hazy,Dark,Village Road,Wet,Unknown,57,1
0,Fatal,17:10,Friday,Foggy,Daylight,Urban Road,Under Construction,Signs,115,4
0,Serious,23:46,Sunday,Clear,Daylight,Village Road,Dry,Signs,85,5
0,Serious,2:23,Saturday,Hazy,Dusk,National Highway,Under Construction,Police Checkpost,103,4
0,Serious,14:20,Friday,Clear,Daylight,National Highway,Wet,Police Checkpost,46,1
0,Minor,20:5,Sunday,Clear,Dawn,National Highway,Under Construction,Signs,81,4
0,Minor,9:13,Friday,Hazy,Daylight,Village Road,Damaged,Unknown,31,3
0,Minor,10:34,Friday,Clear,Daylight,State Highway,Wet,Signs,90,3
0,Serious,6:40,Friday,Hazy,Dusk,State Highway,Damaged,Signs,61,5
0,Serious,23:32,Monday,Clear,Dark,Urban Road,Under Construction,Signs,66,3
0,Serious,19:54,Thursday,Clear,Dark,National Highway,Dry,Police Checkpost,44,3
1,Fatal,20:31,Wednesday,Clear,Daylight,Village Road,Under Construction,Police Checkpost,69,3
1,Serious,3:10,Thursday,Hazy,Daylight,State Highway,Wet,Unknown,98,5
0,Serious,1:8,Tuesday,Stormy,Dusk,Village Road,Damaged,Unknown,37,5
0,Fatal,20:12,Friday,Clear,Dawn,Village Road,Wet,Signals,39,4
0,Serious,12:0,Friday,Rainy,Dawn,Village Road,Under Construction,Unknown,60,3
0,Minor,18:40,Monday,Clear,Daylight,Urban Road,Damaged,Unknown,61,5
0,Fatal,8:7,Monday,Stormy,Dawn,National Highway,Under Construction,Signals,54,3
1,Minor,6:37,Friday,Rainy,Dusk,National Highway,Damaged,Police Checkpost,82,5
0,Fatal,8:31,Friday,Stormy,Dusk,State Highway,Wet,Unknown,76,4
0,Serious,4:8,Sunday,Foggy,Dawn,National Highway,Damaged,Signals,116,3
0,Serious,22:4,Friday,Clear,Daylight,National Highway,Dry,Police Checkpost,60,2
0,Fatal,6:27,Saturday,Foggy,Daylight,National Highway,Under Construction,Unknown,103,2
0,Fatal,17:12,Sunday,Clear,Daylight,Urban Road,Dry,Unknown,32,3
0,Fatal,21:32,Friday,Stormy,Dark,National Highway,Wet,Signals,109,5
0,Minor,14:26,Wednesday,Stormy,Dusk,Urban Road,Damaged,Police Checkpost,62,1
0,Serious,23:5,Thursday,Hazy,Dawn,Village Road,Dry,Signals,46,2
0,Serious,12:46,Wednesday,Rainy,Dusk,Urban Road,Under Construction,Police Checkpost,70,2
0,Fatal,6:53,Sunday,Stormy,Dawn,Village Road,Damaged,Police Checkpost,87,3
0,Fatal,8:38,Wednesday,Clear,Dusk,State Highway,Damaged,Signals,67,3
0,Minor,0:14,Tuesday,Hazy,Dusk,Village Road,Wet,Unknown,105,5
0,Fatal,13:31,Tuesday,Foggy,Dark,Urban Road,Dry,Unknown,120,3
0,Serious,9:38,Tuesday,Hazy,Dusk,National Highway,Wet,Signs,112,1
1,Minor,4:51,Sunday,Stormy,Dark,Urban Road,Dry,Signs,54,3
1,Minor,4:39,Thursday,Clear,Dark,State Highway,Dry,Unknown,40,2
0,Fatal,21:46,Saturday,Stormy,Dawn,Urban Road,Wet,Unknown,40,2
0,Minor,0:53,Monday,Rainy,Dark,National Highway,Damaged,Signs,65,5
0,Serious,0:12,Tuesday,Foggy,Daylight,Village Road,Under Construction,Unknown,103,4
1,Fatal,13:3,Friday,Stormy,Dark,National Highway,Under Construction,Signs,32,2
0,Serious,14:54,Thursday,Clear,Dark,Village Road,Damaged,Signals,37,5
0,Fatal,8:27,Monday,Foggy,Dark,Village Road,Dry,Unknown,114,4
0,Serious,3:45,Saturday,Clear,Dusk,National Highway,Damaged,Unknown,72,5
0,Minor,14:58,Sunday,Stormy,Dark,National Highway,Dry,Signals,80,5
0,Minor,13:36,Tuesday,Hazy,Dark,Urban Road,Damaged,Signals,61,5
0,Serious,15:5,Thursday,Hazy,Dawn,State Highway,Dry,Signs,90,1
0,Fatal,0:13,Saturday,Hazy,Daylight,State Highway,Dry,Signs,71,1
0,Fatal,14:59,Sunday,Stormy,Dark,National Highway,Under Construction,Unknown,88,2
0,Fatal,6:33,Sunday,Foggy,Dusk,State Highway,Dry,Signals,68,1
0,Minor,7:0,Saturday,Hazy,Dawn,Village Road,Damaged,Signs,42,1
0,Minor,2:4,Thursday,Clear,Daylight,Urban Road,Under Construction,Signs,58,2
0,Serious,18:31,Thursday,Foggy,Daylight,State Highway,Under Construction,Unknown,100,5
1,Serious,13:17,Wednesday,Rainy,Daylight,Urban Road,Under Construction,Unknown,111,4
0,Fatal,15:2,Sunday,Foggy,Dusk,State Highway,Wet,Signals,89,1
0,Minor,17:14,Sunday,Foggy,Daylight,National Highway,Dry,Unknown,61,4
0,Minor,9:24,Thursday,Stormy,Dark,State Highway,Wet,Police Checkpost,90,2
1,Minor,0:49,Thursday,Hazy,Daylight,National Highway,Wet,Unknown,99,3
0,Serious,17:24,Tuesday,Hazy,Dark,Urban Road,Dry,Unknown,111,4
0,Minor,0:26,Friday,Stormy,Dusk,State Highway,Under Construction,Signs,98,1
0,Minor,12:30,Friday,Rainy,Dark,National Highway,Dry,Unknown,37,2
0,Fatal,15:27,Wednesday,Hazy,Dark,State Highway,Dry,Unknown,67,1
1,Serious,10:12,Saturday,Foggy,Dark,Urban Road,Dry,Signs,78,5
0,Serious,8:34,Friday,Rainy,Dark,National Highway,Wet,Police Checkpost,73,4
